Edad,Frecuencia
0,62891
1,71960
2,75606
3,78491
4,84285
5,87538
6,86909
7,86358
8,97064
9,93957
10,96675
11,94129
12,97389
13,92518
14,93037
15,95080
16,90980
17,88180
18,88187
19,87188
20,92408
21,93781
22,102338
23,110384
24,112174
25,110506
26,107147
27,111138
28,106759
29,104966
30,109913
31,93268
32,98400
33,92047
34,90736
35,91416
36,85211
37,81918
38,83958
39,76741
40,84798
41,70740
42,81894
43,80839
44,81139
45,82608
46,77512
47,77955
48,76341
49,73231
50,80706
51,65280
52,70768
53,66516
54,65306
55,64424
56,61376
57,58387
58,57807
59,54283
60,61445
61,47091
62,50202
63,51118
64,47555
65,45569
66,40706
67,40030
68,38800
69,35670
70,37518
71,29419
72,32350
73,31182
74,30603
75,27390
76,24914
77,22469
78,22124
79,19842
80,19916
81,14708
82,15076
83,15333
84,14772
85,12233
86,10580
87,9635
88,8689
89,6774
90,6228
91,4405
92,4106
93,3945
94,3228
95,2221
96,1861
97,1306
98,1138
99,763
100,536
101,308
102,228
103,157
104,109
105,61
106,33
107,23
108,12
109,11
110,6
111,9
112,4
113,1
115,6
116,1
117,1
118,1
122,1
123,1
124,10
125,2
