DEPTO,Poblacion_4plus,Hablantes_Ingles,Pct_Ingles,Nombre_Depto
1,327671,8272,2.5244833995074325,Ahuachapán
2,526955,33159,6.292567676556822,SantaAna
3,443705,16309,3.6756403466267002,Sonsonate
4,176791,5157,2.9170036936269383,Chalatenango
5,730081,95398,13.066769303680005,LaLibertad
6,1501677,189720,12.633875327383985,San Salvador
7,232042,9116,3.928599132915593,Cuscatlán
8,301391,9848,3.267516282835254,LaPaz
9,134859,3539,2.6242223359212216,Cabañas
10,153425,4314,2.8117972950953236,SanVicente
11,307933,8906,2.8921875862606474,Usulután
12,424298,21506,5.068607440996658,SanMiguel
13,160839,3569,2.2189891755109143,Morazán
14,212306,5887,2.7728844215424906,LaUnión
15,107055,0,0.0,
