DEPTO,Total_Pob,Internet,Smartphone,Laptop,PC_Escritorio,Tablet,Cel_Basico,Pct_Internet,Pct_Smartphone,Pct_Laptop,Pct_PC_Escritorio,Pct_Tablet,Pct_Cel_Basico,Nombre_Depto
1,290478,213946,220135,62438,24853,29049,35900,73.65308216112753,75.78370823263724,21.494915277576958,8.555897520638396,10.000413112180613,12.358939403328307,Ahuachapán
2,477547,388747,390010,125694,71993,62847,55714,81.40497165724003,81.66944824279076,26.320760050843163,15.075584183336929,13.160380025421581,11.66670505730326,SantaAna
3,394848,303898,311766,91431,42316,43030,40756,76.96581975848935,78.95848529054219,23.1559992706054,10.717035416160142,10.897864494691628,10.321946673150174,Sonsonate
4,160424,125942,128087,34786,13873,16930,17420,78.50570986884755,79.84279160225402,21.683787961900965,8.647708572283449,10.553283797935471,10.858724380391962,Chalatenango
5,663787,546398,553866,224474,152654,120284,81182,82.31526076889124,83.4403204642453,33.81717327998289,22.99743743098313,18.120873111404713,12.230128038060402,LaLibertad
6,1381466,1180761,1186906,506166,391900,259416,184954,85.4715932205353,85.91641053779101,36.63977253149915,28.368414423518207,18.77831231459913,13.38824118726049,San Salvador
7,209049,160030,164819,50801,23749,23444,22779,76.55143052585758,78.84228099632143,24.30100120067544,11.360494429535658,11.21459562112232,10.896488383106353,Cuscatlán
8,270956,213546,216152,64752,28491,29283,26036,78.81205804632486,79.77383781868643,23.89760699154106,10.514991363911484,10.807289744460356,9.608940196932343,LaPaz
9,120247,89844,90033,24725,8534,11633,11755,74.71620913619466,74.87338561460993,20.561843538716143,7.097058554475372,9.674253827538317,9.77571166016616,Cabañas
10,138250,107524,107984,32977,13047,15380,12859,77.77504520795661,78.10777576853526,23.853164556962025,9.437251356238697,11.124773960216999,9.30126582278481,SanVicente
11,275296,220031,217609,66214,25729,33376,35640,79.92524410089503,79.04546379170057,24.051929559456003,9.345940369638498,12.12367778681855,12.946065326049053,Usulután
12,381638,307424,307448,102249,51144,51731,46665,80.55382325659394,80.56011193853861,26.792143340023795,13.40118122409194,13.554991903321998,12.227555956167887,SanMiguel
13,143933,105741,106162,31894,9588,13260,13354,73.46543183286668,73.75792903642667,22.15892116470858,6.661432749960052,9.212619760583049,9.277927924798343,Morazán
14,189943,150183,148834,38984,14297,21109,27798,79.06740443185586,78.3571913679367,20.524051952427833,7.526994940587439,11.11333400020006,14.634916790826722,LaUnión
15,107055,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
